id,ficheiro,final,origem,mudou_pct
f0108,21-49-12.jpg,21-49-12.jpg,original,0.00
f0109,21-49-13 - Cópia - Cópia.JPG,21-49-13 - Cópia - Cópia.JPG,original,0.00
f0110,21-49-13 - Cópia.JPG,21-49-13 - Cópia.JPG,original,0.00
f0111,21-49-15.JPG,21-49-15.jpg,lanczos,0.61
f0112,21-49-16.JPG,21-49-16.JPG,original,0.00
f0113,21-49-18.JPG,21-49-18.JPG,original,0.00
f0114,21-49-19.JPG,21-49-19.JPG,original,0.00
f0115,21-49-2.jpg,21-49-2.jpg,IA,1.09
f0116,21-49-20.JPG,21-49-20.JPG,original,0.00
f0117,21-49-21.JPG,21-49-21.JPG,original,0.00
f0118,21-49-22.JPG,21-49-22.JPG,original,0.00
f0119,21-49-23.JPG,21-49-23.JPG,original,0.00
f0120,21-49-24.JPG,21-49-24.JPG,original,0.00
f0121,21-49-26.JPG,21-49-26.JPG,original,0.00
f0122,21-49-27.JPG,21-49-27.JPG,original,0.00
f0123,21-49-28.JPG,21-49-28.JPG,original,0.00
f0124,21-49-29.JPG,21-49-29.JPG,original,0.00
f0125,21-49-3.jpg,21-49-3.jpg,IA,1.76
f0126,21-49-30.JPG,21-49-30.JPG,original,0.00
f0127,21-49-31.JPG,21-49-31.JPG,original,0.00
f0128,21-49-32.JPG,21-49-32.JPG,original,0.00
f0129,21-49-33.JPG,21-49-33.jpg,IA,2.25
f0130,21-49-34.JPG,21-49-34.JPG,original,0.00
f0131,21-49-36.JPG,21-49-36.JPG,original,0.00
f0132,21-49-38.JPG,21-49-38.JPG,original,0.00
f0133,21-49-39.JPG,21-49-39.JPG,original,0.00
f0134,21-49-4.jpg,21-49-4.jpg,IA,1.42
f0135,21-49-40.JPG,21-49-40.JPG,original,0.00
f0136,21-49-41.JPG,21-49-41.JPG,original,0.00
f0137,21-49-42.JPG,21-49-42.JPG,original,0.00
f0138,21-49-43.JPG,21-49-43.JPG,original,0.00
f0139,21-49-44.JPG,21-49-44.JPG,original,0.00
f0140,21-49-45.jpeg,21-49-45.jpeg,original,0.00
f0141,21-49-46.jpg,21-49-46.jpg,original,0.00
f0142,21-49-47.jpeg,21-49-47.jpeg,original,0.00
f0143,21-49-51.jpg,21-49-51.jpg,original,0.00
f0144,21-49-52.JPG,21-49-52.JPG,original,0.00
f0145,21-49-53.jpg,21-49-53.jpg,original,0.00
f0146,21-49-54.jpg,21-49-54.jpg,original,0.00
f0147,21-49-55.jpg,21-49-55.jpg,original,0.00
f0148,21-49-56.jpg,21-49-56.jpg,original,0.00
f0149,21-49-57.jpg,21-49-57.jpg,original,0.00
f0150,21-49-58.JPG,21-49-58.JPG,original,0.00
f0151,21-49-6.jpg,21-49-6.jpg,IA,1.15
f0152,21-49-8.jpg,21-49-8.jpg,IA,1.29
f0153,21-49.jpg,21-49.jpg,IA,1.06
f0154,21-5.JPG,21-5.JPG,original,0.00
f0155,21-50.JPG,21-50.JPG,original,0.00
f0156,21-51.JPG,21-51.JPG,original,0.00
