id,ordem,bloco,ficheiro,tipo,pessoa,ano,evento,duracao_s,in_s,out_s,movimento,texto_ecra,resolucao_ok,voto_tiago,voto_clara,nota_tiago,nota_clara,estado
f0343,53,5,2016_NOS_D'ANDANDA.jpg,foto,Ambos,2016,Por classificar,4,,,Pan E-D,,Nao,,,,,
f0309,54,5,2016_tIAGO_AMIGOS_FACULDADE.jpg,foto,Amigos,2016,Por classificar,4,,,Zoom out,,Nao,,,,,
f0310,55,5,2016_tIAGO_AMIGOS_FACULDADE_2_ficar_ape-nas_com_a_foto_no_canto_superior_esquerdo_onde_esta_o tiago.jpg,foto,Amigos,2016,Por classificar,4,,,Zoom in,,Nao,,,,,
f0311,56,5,2016_TiaGO_AMIGOS_TRABALHO_PWC_VIDEO_NATAL.jpg,foto,Amigos,2016,Por classificar,4,,,Zoom out,,Nao,,,,,
f0312,57,5,2016_tIAGO_ANDEBOL_FACULDADE.jpg,foto,Amigos,2016,Por classificar,4,,,Pan E-D,,Nao,,,,,
f0030,58,5,11-7.jpg,foto,Familia,2017,Com o Henrique (o mano),4,,,Zoom out,,Nao,,,,,
f0161,59,5,21-7.JPG,foto,Clara,2017,Cortejo da Queima das Fitas 2017. Onde,4,,,Nenhum,,Sim,,,,,
f0220,60,5,9-18.JPG,foto,Clara,2017,E de futebolistas,4,,,Zoom out,,Sim,,,,,
f0048,61,5,20170204_200730.jpg,foto,Ambos,2017,"Em comum, também tinham a paixão pelo",4,,,Zoom in,,Sim,,,,,
f0141,62,5,21-49-46.jpg,foto,Tiago,2017,O canoísta,4,,,Pan D-E,,Sim,,,,,
f0050,63,5,20170805181124.jpg,foto,Ambos,2017,"O encontro, 2017",4,,,Zoom in,,Sim,,,,,
f0159,64,5,21-6.jpg,foto,Clara,2017,"Praxe. A alcunha de Caloira era ""Rapun",4,,,Zoom out,,Nao,,,,,
f0049,65,5,20170521_162505.jpg,foto,Tiago,2017,Régua,4,,,Zoom in,Régua,Sim,,,,,
f0189,66,5,82-10.jpg,foto,Ambos,2017,Veneza,4,,,Nenhum,Veneza,Sim,,,,,
f0258,67,5,IMG_0645 (1).jpg,foto,,2017,"sem contexto, 2014",4,,,Pan E-D,,Sim,,,,,
f0166,68,5,30Abril18_125.jpg,foto,Ambos,2018,Baile de Finalistas,4,,,Zoom out,Baile de Finalistas,Sim,,,,,
f0031,69,5,11-8.jpg,foto,Familia,2018,Com o Henrique (o mano),4,,,Zoom in,,Nao,,,,,
f0032,70,5,11-9.jpg,foto,Familia,2018,Com o Henrique (o mano),4,,,Zoom out,,Nao,,,,,
f0276,71,5,IMG_4490 (3).jpg,foto,Ambos,2018,Cumplicidades,4,,,Zoom in,,Sim,,,,,
f0275,72,5,IMG_4490 (16).jpg,foto,Ambos,2018,"Cumplicidades, 2018",4,,,Zoom out,,Sim,,,,,
f0198,73,5,82-36.JPG,foto,Ambos,2018,"Cumplicidades, 2019",4,,,Nenhum,,Sim,,,,,
f0279,74,5,IMG_4542.JPG,foto,Tiago,2018,E com Ronaldo,4,,,Zoom out,,Sim,,,,,
f0056,75,5,21-10.JPG,foto,Clara,2018,E ganhou o Prémio de Melhor Oradora pe,4,,,Zoom in,,Sim,,,,,
f0163,76,5,21-9.JPG,foto,Clara,2018,Em 2018 foi eleita para representar a,4,,,Zoom out,,Sim,,,,,
f0278,77,5,IMG_4541.JPG,foto,Tiago,2018,"Em Londres, no Museu Madame Tussauds",4,,,Zoom in,,Sim,,,,,
f0218,78,5,9-16.JPG,foto,Clara,2018,Eterna fã do Harry Potter (Local de fi,4,,,Zoom out,,Sim,,,,,
f0284,79,5,IMG_7790.JPG,foto,Clara,2018,Finalista de Direito,4,,,Zoom in,,Sim,,,,,
f0039,80,5,19-1.JPG,foto,Clara,2018,Foi sempre irreverente,4,,,Nenhum,,Sim,,,,,
f0292,81,5,IMG_9097.JPG,foto,Ambos,2018,Gerês,4,,,Zoom in,Gerês,Sim,,,,,
f0248,82,5,DSC_0041.JPG,foto,Ambos,2018,"Imposição de Insígnias. ""Tiago, não ba",4,,,Zoom out,,Sim,,,,,
f0192,83,5,82-2.jpg,foto,Ambos,2018,"Londres, 2018",4,,,Zoom in,"Londres, 2018",Sim,,,,,
f0100,84,5,21-45-8.jpg,foto,Familia,2018,No casamento do primo Filipe / No 99.º,4,,,Zoom out,,Nao,,,,,
f0293,85,5,IMG_9283 (1).jpg,foto,Ambos,2018,"O encontro, 2018",4,,,Zoom in,,Sim,,,,,
f0329,86,5,2018_cLARA_E_TIAGO_PASSEIO.jpg,foto,Ambos,2018,Por classificar,4,,,Zoom out,,Nao,,,,,
