ordem,id,tipo,seccao,ficheiro,duracao_s,transicao_s,inicio_s,fim_s,dominante_s,solo_s,movimento,texto_ecra,tratamento,duracao_original_s,variacao_pct,fonte_imagem,nota
185,f0137,foto,Tiago,21-49-42.JPG,3.7,0.7,565.28,568.98,3.0,2.3,Zoom in,,fiel,5.0,-26.0,,
186,f0138,foto,Tiago,21-49-43.JPG,3.7,0.7,568.28,571.98,3.0,2.3,Zoom in,Na Assembleia da República,fiel,5.0,-26.0,,
187,f0257,foto,Tiago,IMG_0588.JPG,3.7,0.7,571.28,574.98,3.0,2.3,Zoom in,Um dos vários desportos que gosta de praticar,fundo,5.0,-26.0,,
188,f0140,foto,Tiago,21-49-45.jpeg,3.7,0.7,574.28,577.98,3.0,2.3,Zoom in,O maratonista,fundo,5.0,-26.0,,
189,f0256,foto,Tiago,IMG-20260614-WA0013.jpg,3.93,0.7,577.28,581.21,3.23,2.53,Zoom in,,fundo,6.0,-34.6,,
190,f0141,foto,Tiago,21-49-46.jpg,3.93,0.7,580.51,584.43,3.23,2.53,Zoom in,O canoísta,fiel,6.0,-34.6,,
191,f0142,foto,Tiago,21-49-47.jpeg,3.7,0.7,583.73,587.43,3.0,2.3,Zoom in,O pacifista,fundo,5.0,-26.0,,
192,f0139,foto,Tiago,21-49-44.JPG,3.7,0.7,586.73,590.43,3.0,2.3,Zoom in,Look à Top Gun,fiel,5.0,-26.0,,
193,f0143,foto,Tiago,21-49-51.jpg,3.7,0.7,589.73,593.43,3.0,2.3,Zoom in,,fundo,5.0,-26.0,,
194,f0124,foto,Tiago,21-49-29.JPG,3.7,0.7,592.73,596.43,3.0,2.3,Zoom in,Pilotando um helicóptero,fiel,5.0,-26.0,,
195,f0133,foto,Tiago,21-49-39.JPG,3.7,0.7,595.73,599.43,3.0,2.3,Nenhum,Pilotando um trenó,fiel,5.0,-26.0,,
196,f0049,foto,Tiago,20170521_162505.jpg,3.7,0.7,598.73,602.43,3.0,2.3,Zoom in,Na Régua,fiel,5.0,-26.0,,
197,f0263,foto,Tiago,IMG_3216.JPG,3.7,0.7,601.73,605.43,3.0,2.3,Zoom in,Em Nova York,fundo,5.0,-26.0,,
198,f0264,foto,Tiago,IMG_3461.JPG,3.7,0.7,604.73,608.43,3.0,2.3,Zoom in,,fiel,4.0,-7.5,,
199,f0265,foto,Tiago,IMG_3540.JPG,3.7,0.7,607.73,611.43,3.0,2.3,Zoom in,Na Croácia  .,fiel,5.0,-26.0,,
200,f0266,foto,Tiago,IMG_3547.JPG,3.7,0.7,610.73,614.43,3.0,2.3,Zoom in,,fiel,5.0,-26.0,,
201,f0267,foto,Tiago,IMG_3576.JPG,3.7,0.7,613.73,617.43,3.0,2.3,Nenhum,Captando o pôr-de-sol,fiel,5.0,-26.0,,
202,f0277,foto,Tiago,IMG_4517.JPG,3.7,0.7,616.73,620.43,3.0,2.3,Zoom in,,fiel,4.0,-7.5,,
203,f0251,foto,Tiago,DSCN7849.JPG,3.93,0.7,619.73,623.66,3.23,2.53,Zoom in,"Em Zagreb, no estádio Maksimir.  .",fiel,6.0,-34.6,,
204,f0278,foto,Tiago,IMG_4541.JPG,4.15,0.7,622.96,627.11,3.45,2.75,Zoom in,"Em  Londres, no Museu Madame Tussauds,  com Bolt.",fundo,7.0,-40.7,,
205,f0279,foto,Tiago,IMG_4542.JPG,3.93,0.7,626.41,630.34,3.23,2.53,Zoom in,E com  Ronaldo,fundo,6.0,-34.6,,
206,f0287,foto,Tiago,IMG_8450.jpeg,3.93,0.7,629.64,633.56,3.23,2.53,Zoom in,"Em  Buenos Aires, no  Bairro  La Boca.",fundo,6.0,-34.6,,
207,f0295,foto,Tiago,IMG_9648.jpeg,3.93,0.7,632.86,636.79,3.23,2.53,Zoom in,"Empurrando um glaciar (Perito Moreno, na Argentina)",fiel,6.0,-34.6,,
208,f0034,foto,Tiago,1200.jpg,3.93,0.7,636.09,640.02,3.23,2.53,Zoom in,Com o Henrique no Parque Guell,fiel,6.0,-34.6,,
209,,cartao,Colegas de trabalho (dele),,3.7,0.7,639.32,643.02,3.0,2.3,,Colegas de trabalho,fiel,5.0,-26.0,,
210,f0254,foto,Colegas de trabalho (dele),IMG-20250305-WA0113.jpg,0.56,0.0,643.02,643.58,0.56,0.56,Nenhum,,rajada,7.0,-92.0,,
211,f0255,foto,Colegas de trabalho (dele),IMG-20260513-WA0016.jpg,0.56,0.0,643.58,644.14,0.56,0.56,Nenhum,,rajada,6.0,-90.6,,
212,f0171,foto,Colegas de trabalho (dele),6-4.jpg,0.56,0.0,644.14,644.7,0.56,0.56,Nenhum,,rajada,9.0,-93.8,,
213,f0253,foto,Colegas de trabalho (dele),IMG-20221118-WA0013.jpg,0.56,0.0,644.7,645.27,0.56,0.56,Nenhum,,rajada,7.0,-92.0,,
214,f0144,foto,Colegas de trabalho (dele),21-49-52.JPG,4.15,0.7,644.57,648.72,3.45,2.75,Zoom in,Com a mãe no cortejo da Queima das  Fitas,fiel,7.0,-40.7,,
215,f0145,foto,Colegas de trabalho (dele),21-49-53.jpg,3.7,0.7,648.02,651.72,3.0,2.3,Nenhum,Com a mãe e com a avó,fiel,5.0,-26.0,,
216,f0148,foto,Colegas de trabalho (dele),21-49-56.jpg,3.93,0.7,651.02,654.94,3.23,2.53,Zoom in,,fiel,6.0,-34.6,,
217,f0146,foto,Colegas de trabalho (dele),21-49-54.jpg,3.7,0.7,654.24,657.94,3.0,2.3,Zoom in,E com a Sky,fiel,5.0,-26.0,,
218,f0147,foto,Colegas de trabalho (dele),21-49-55.jpg,3.7,0.7,657.24,660.94,3.0,2.3,Zoom in,,fiel,5.0,-26.0,,
219,f0149,foto,Colegas de trabalho (dele),21-49-57.jpg,3.7,0.7,660.24,663.94,3.0,2.3,Zoom in,,fiel,4.0,-7.5,,
220,,cartao,O encontro,,4.38,0.7,663.24,667.62,3.68,2.98,,Em 2011  a Clara e o Tiago  conheceram-se. E nunca mais  se largaram.,fiel,8.0,-45.3,,
