ordem,id,tipo,seccao,ficheiro,duracao_s,transicao_s,inicio_s,fim_s,dominante_s,solo_s,movimento,texto_ecra,tratamento,duracao_original_s,variacao_pct,fonte_imagem,nota,textos_fotos,textos_opcoes
80,f0404,foto,"demo v3, o flash-forward",20210214_104230.jpg,4.0,0.7,345.66,349.66,3.3,2.6,Zoom in,,fundo,,,,,,
81,f0358,foto,"demo v3, o flash-forward",2022_Clara_e_sky.jpg,4.0,0.7,348.96,352.96,3.3,2.6,Zoom in,,fundo,,,,,,
82,f0044,foto,"demo v3, o flash-forward",20-3.JPG,4.0,0.7,352.26,356.26,3.3,2.6,Zoom in,Entretanto o gosto pela velocidade e adrenalina apareceu,fundo,,,,,,
83,f0045,foto,"demo v3, o flash-forward",20-4.png,4.0,0.7,355.56,359.56,3.3,2.6,Zoom in,,fundo,,,,,,
84,f0216,foto,"demo v3, o flash-forward",9-15-4.jpg,4.0,0.7,358.86,362.86,3.3,2.6,Zoom in,Orgulhosa do primeiro automóvel. ,rajada,,,,,,
85,f0473,foto,"demo v3, o flash-forward",IMG-20180917-WA0000.jpg,4.0,0.7,362.16,366.16,3.3,2.6,Zoom in,Com ele iria ganhar... algumas multas por excesso de velocidade...,rajada,,,,,,
86,f0270,foto,"demo v3, o flash-forward",IMG_4224.JPG,4.0,0.7,365.46,369.46,3.3,2.6,Zoom in,"O pai: -Clara, já vais outra vez em excesso de velocidade! 
O irmão: -Ela é uma Fora-da-Lei...",fundo,,,,,,
87,,cartao,"demo v3, o flash-forward",,3.6,0.7,368.76,372.36,2.9,2.2,Zoom in,"Durante este periodo também o Tiago comprou o primeiro carro, mas antes teve outras experiências...",fiel,,,,,,
88,f0107,foto,"demo v3, o flash-forward",21-49-11.jpg,4.0,0.7,371.66,375.66,3.3,2.6,Zoom in,O primeiro veículo,rajada,,,,,,
89,f0592,foto,"demo v3, o flash-forward",IMG_0577.JPG,4.0,0.7,374.96,378.96,3.3,2.6,Zoom in,,fundo,,,,,,
90,f0133,foto,"demo v3, o flash-forward",21-49-39.JPG,4.0,0.7,378.26,382.26,3.3,2.6,Zoom in,Pilotando um trenó,fundo,,,,,,
91,f0593,foto,"demo v3, o flash-forward",IMG_0622.JPG,4.0,0.7,381.56,385.56,3.3,2.6,Zoom in,,fundo,,,,,,
92,,cartao,"demo v3, o flash-forward",,3.6,0.7,384.86,388.46,2.9,2.2,Zoom in,Carro,fiel,,,,,,
93,f0008,foto,"demo v3, o flash-forward",21-49-13.JPG,4.0,0.7,387.76,391.76,3.3,2.6,Zoom in,,fundo,,,,,,
94,f0108,foto,"demo v3, o flash-forward",21-49-12.jpg,4.0,0.7,391.06,395.06,3.3,2.6,Zoom in,E porque não ganhar uns € como modelo?😮,fundo,,,,,,
95,f0353,foto,"demo v3, o flash-forward",TIAGO_IRMÃO_mae_2016.jpg,4.0,0.7,394.36,398.36,3.3,2.6,Zoom in,Com mano e mãe,fundo,,,,,,
96,f0137,foto,"demo v3, o flash-forward",21-49-42.JPG,4.0,0.7,397.66,401.66,3.3,2.6,Zoom in,Com mano e pai,fundo,,,,,,
97,f0118,foto,"demo v3, o flash-forward",21-49-22.JPG,4.0,0.7,400.96,404.96,3.3,2.6,Zoom in,Com o irmão na praxe do... pai.,fundo,,,,,,
98,f0119,foto,"demo v3, o flash-forward",21-49-23.JPG,4.0,0.7,404.26,408.26,3.3,2.6,Zoom in,Desejando boa sorte ao pai Finalista,fundo,,,,,,
99,f0586,foto,"demo v3, o flash-forward",HPIM0458.JPG,4.0,0.7,407.56,411.56,3.3,2.6,Zoom in,"Com o Marco num dos poucos momentos mais ""formais""",fundo,,,,,,
100,f0123,foto,"demo v3, o flash-forward",21-49-28.JPG,4.0,0.7,410.86,414.86,3.3,2.6,Zoom in,o resto normalmente....,fundo,,,,,,
101,f0596,foto,"demo v3, o flash-forward",IMG_3968.JPG,4.0,0.7,414.16,418.16,3.3,2.6,Zoom in,...é macacada,fundo,,,,,,
102,f0131,foto,"demo v3, o flash-forward",21-49-36.JPG,4.0,0.7,417.46,421.46,3.3,2.6,Zoom in,"Com a primeira sobrinha, Matilde.",fundo,,,,,,
103,f0442,foto,"demo v3, o flash-forward",20240101_214757.jpg,4.0,0.7,420.76,424.76,3.3,2.6,Zoom in,Uns aninhos mais tarde com a Matilde,fundo,,,,,,
104,f0282,foto,"demo v3, o flash-forward",IMG_6240.jpeg,4.0,0.7,424.06,428.06,3.3,2.6,Zoom in,,fundo,,,,,,
105,f0536,foto,"demo v3, o flash-forward",IMG_20250624_140822.jpg,4.0,0.7,427.36,431.36,3.3,2.6,Zoom in,,fundo,,,,,,
106,f0279,foto,"demo v3, o flash-forward",IMG_4542.JPG,4.0,0.7,430.66,434.66,3.3,2.6,Zoom in,,fundo,,,,,,
107,f0130,foto,"demo v3, o flash-forward",21-49-34.JPG,4.0,0.7,433.96,437.96,3.3,2.6,Zoom in,,fundo,,,,,,
108,f0148,foto,"demo v3, o flash-forward",21-49-56.jpg,4.0,0.7,437.26,441.26,3.3,2.6,Zoom in,,fundo,,,,,,
109,f0122,foto,"demo v3, o flash-forward",21-49-27.JPG,4.0,0.7,440.56,444.56,3.3,2.6,Zoom in,,fundo,,,,,,
110,f0126,foto,"demo v3, o flash-forward",21-49-30.JPG,4.0,0.7,443.86,447.86,3.3,2.6,Zoom in,,fundo,,,,,,
111,f0306,foto,"demo v3, o flash-forward",WP_20150912_18_28_43_Pro.jpg,4.0,0.7,447.16,451.16,3.3,2.6,Zoom in,,fundo,,,,,,
112,f0573,foto,"demo v3, o flash-forward",DSC06386.JPG,4.0,0.7,450.46,454.46,3.3,2.6,Zoom in,,fundo,,,,,,
113,f0577,foto,"demo v3, o flash-forward",DSC08227.JPG,4.0,0.7,453.76,457.76,3.3,2.6,Zoom in,,fundo,,,,,,
114,f0382,foto,"demo v3, o flash-forward",20190622_113816.jpg,4.0,0.7,457.06,461.06,3.3,2.6,Zoom in,,fundo,,,,,,
115,f0490,foto,"demo v3, o flash-forward",IMG-20190622-WA0009.jpg,4.0,0.7,460.36,464.36,3.3,2.6,Zoom in,,fundo,,,,,,
116,f0421,foto,"demo v3, o flash-forward",20220518_120830.jpg,4.0,0.7,463.66,467.66,3.3,2.6,Zoom in,,fundo,,,,,,
117,f0438,foto,"demo v3, o flash-forward",20231217_180159.jpg,4.0,0.7,466.96,470.96,3.3,2.6,Zoom in,,fundo,,,,,,
118,f0489,foto,"demo v3, o flash-forward",IMG-20190622-WA0008.jpg,4.0,0.7,470.26,474.26,3.3,2.6,Zoom in,,fundo,,,,,,
